date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-04-12 16:02:00,11.37,11.37,11.37,11.37,6413.0,FNB
2023-04-12 16:01:00,11.37,11.37,11.37,11.37,30193.0,FNB
2023-04-12 16:00:00,11.345,11.37,11.34,11.365,94663.0,FNB
2023-04-12 15:59:00,11.35,11.35,11.34,11.35,24666.0,FNB
2023-04-12 15:58:00,11.34,11.35,11.335,11.345,47461.0,FNB
2023-04-12 15:57:00,11.335,11.34,11.33,11.34,14837.0,FNB
2023-04-12 15:56:00,11.3475,11.3475,11.33,11.335,21118.0,FNB
2023-04-12 15:55:00,11.345,11.35,11.34,11.345,11998.0,FNB
2023-04-12 15:54:00,11.345,11.35,11.34,11.345,7468.0,FNB
2023-04-12 15:53:00,11.35,11.35,11.34,11.345,9660.0,FNB
2023-04-12 15:52:00,11.335,11.345,11.335,11.345,31864.0,FNB
2023-04-12 15:51:00,11.35,11.35,11.33,11.33,12977.0,FNB
2023-04-12 15:50:00,11.355,11.355,11.34,11.34,19010.0,FNB
2023-04-12 15:49:00,11.365,11.365,11.35,11.355,19816.0,FNB
2023-04-12 15:48:00,11.375,11.38,11.36,11.36,15274.0,FNB
2023-04-12 15:47:00,11.37,11.38,11.37,11.375,16696.0,FNB
2023-04-12 15:46:00,11.3616,11.37,11.36,11.365,6029.0,FNB
2023-04-12 15:45:00,11.36,11.37,11.36,11.365,3905.0,FNB
2023-04-12 15:44:00,11.365,11.37,11.365,11.365,4177.0,FNB
2023-04-12 15:43:00,11.375,11.38,11.365,11.365,7582.0,FNB
2023-04-12 15:42:00,11.39,11.39,11.375,11.38,18521.0,FNB
2023-04-12 15:41:00,11.38,11.39,11.37,11.385,11538.0,FNB
2023-04-12 15:40:00,11.38,11.38,11.375,11.375,2101.0,FNB
2023-04-12 15:39:00,11.38,11.38,11.375,11.375,2208.0,FNB
2023-04-12 15:38:00,11.37,11.38,11.365,11.375,3306.0,FNB
2023-04-12 15:37:00,11.36,11.365,11.36,11.365,8702.0,FNB
2023-04-12 15:36:00,11.35,11.36,11.35,11.355,4971.0,FNB
2023-04-12 15:35:00,11.36,11.37,11.35,11.35,10515.0,FNB
